序号,指标名称,计算结果
1,计算模式标志,1
2,起点纬度B1,35.000022
3,起点经度L1,90.000011
4,起始大地方位角A12,100.000033
5,大地线长度S,15000000.200
6,终点纬度B2,-30.488875
7,终点经度L2,215.984499
8,终点反方位角A21,290.548516
9,迭代总次数,1174
10,计算模式标志,1
11,起点纬度B1,47.465265
12,起点经度L1,35.493633
13,起始大地方位角A12,44.121366
14,大地线长度S,44797.283
15,终点纬度B2,47.753747
16,终点经度L2,35.909565
17,终点反方位角A21,224.428560
18,迭代总次数,3
19,计算模式标志,2
20,起点纬度B1,35.000022
21,起点经度L1,90.000011
22,终点纬度B2,-30.292096
23,终点经度L2,215.590434
24,大地线长度S,14956863.747
25,正方位角A12,99.910507
26,反方位角A21,290.811099
27,迭代总次数,58
