序号,说明,计算结果
1,Point1纬度B,34°45′30″
2,Point1经度L,113°30′15″
3,Point1_1:100万_老编号,I-49
4,Point1_1:100万_新编号,I49
5,Point1_1:50万_老编号,I-49-B
6,Point1_1:50万_新编号,I49C001002
7,Point1_1:25万_老编号,I-49-[8]
8,Point1_1:25万_新编号,I49D002004
9,Point1_1:10万_老编号,I-49-48
10,Point1_1:10万_新编号,I49E004012
11,Point1_1:5万_老编号,I-49-48-C
12,Point1_1:5万_新编号,I49F008023
13,Point1_1:1万_老编号,I-49-48-41
14,Point1_1:1万_新编号,I49G030089
15,Point1图幅西南角纬度,34°40′0″
16,Point1图幅西南角经度,113°30′0″
17,Point2纬度B,36°12′45″
18,Point2经度L,114°20′30″
19,Point2_1:100万_老编号,J-50
20,Point2_1:100万_新编号,J50
21,Point2_1:50万_老编号,J-50-C
22,Point2_1:50万_新编号,J50C002001
23,Point2_1:25万_老编号,J-50-[13]
24,Point2_1:25万_新编号,J50D004001
25,Point2_1:10万_老编号,J-50-133
26,Point2_1:10万_新编号,J50E012001
27,Point2_1:5万_老编号,J-50-133-B
28,Point2_1:5万_新编号,J50F023002
29,Point2_1:1万_老编号,J-50-133-22
30,Point2_1:1万_新编号,J50G091006
