序号,指标名称,计算结果
1,左片摄影中心Xs1,-6911.427876
2,左片摄影中心Ys1,4181.156861
3,左片摄影中心Zs1,157.773187
4,左片角元素φ1,0.120000
5,左片角元素ω1,-0.080000
6,左片角元素κ1,0.020000
7,左片主距f1,110.000000
8,左片像主点x01,98.313214
9,左片像主点y01,-165.370335
10,右片摄影中心Xs2,-6922.011458
11,右片摄影中心Ys2,4203.665077
12,右片摄影中心Zs2,151.622045
13,右片角元素φ2,0.382310
14,右片角元素ω2,-0.335320
15,右片角元素κ2,0.082770
16,右片主距f2,115.300090
17,右片像主点x02,106.807568
18,右片像主点y02,-165.370335
19,基线分量BX,-10.583582
20,基线分量BY,22.508216
21,基线分量BZ,-6.151142
22,第1组像点左片标准化x1̄,-85.953214
23,第1组像点左片标准化ȳ1̄,191.080335
24,第1组像点右片标准化x2̄,-96.687568
25,第1组像点右片标准化ȳ2̄,188.820335
26,第1组左片像空间辅助X1,-74.174461
27,第1组左片像空间辅助Y1,179.927043
28,第1组左片像空间辅助Z1,-134.625621
29,第1组右片像空间辅助X2,-41.145362
30,第1组右片像空间辅助Y2,132.203056
31,第1组右片像空间辅助Z2,-197.800725
32,第1组投影系数N1,0.201516
33,第1组投影系数N2,0.106056
34,第1点地面摄影测量X坐标,-6926.375183
35,第1点地面摄影测量Y坐标,4217.414957
36,第1点地面摄影测量Z坐标,130.644032
37,12个地面点X坐标平均值,-6926.265415
38,12个地面点Y坐标平均值,4218.444808
39,12个地面点Z坐标平均值,130.073095
40,全部地面点Z坐标最大值,132.286786
41,全部地面点Z坐标最小值,127.945930
